P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
11 Com b,3.0,6165.8633,-476.742,476.742,11.156192,-1.668048,1.6456279999999999,2007.0,2014-05-14,326.03,-0.32,0.32,1.29,-0.05,0.05,0.231,-0.005,0.005,71.69800000000001,-0.7260000000000001,0.766,94.8,-1.5,1.5,2452899.6,-1.6,1.6,13.8,0.47400000000000003,-0.096,0.06999999999999999,0.0,0.0,0.0,Radial Velocity,11 Com,185.17928,17.792868,4.74,93.37,-1.92,1.92,-0.35,-0.09,0.09,2.7,-0.3,0.3,19.0,-2.0,2.0,K0 III,1.9442,-1.2922,1.2521999999999998,4742.0,-100.0,100.0,2.31,"HD 107383, HIP 60202",34.4482084,1398.1554700000002,497.94192548,194.99221647000002,0.13067063,1.3244178,0.99201,1.58799,1.2987592,101.01141,64.855456,166.19194,799.44963,722.98875,914.73942,Jovian,19.0,K,12.345286,12 20 43.0286,+17 47 34.3248,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.47646024,0.64240028,0.0,0.0,Hot,0.0,0.083813263,Coma Berenices,Com,Berenice's Hair,12.082709,6165.8633,1.29
11 UMi b,3.0,4684.7848,-794.57001,794.57001,4.773218,-1.5850940000000002,1.5626740000000001,2009.0,2018-09-06,516.21997,-3.2,3.2,1.53,-0.07,0.07,0.08,-0.03,0.03,56.74399999999999,-2.266,1.866,196.16199999999998,-14.542000000000002,14.542000000000002,2454214.4800000004,-27.012,27.012,12.2,0.4902,-0.08560000000000001,0.059,0.0,0.0,0.0,Radial Velocity,11 UMi,229.27454,71.823898,5.016,125.72,-1.97,1.97,-0.02,-0.078,0.078,2.78,-0.69,0.69,29.79,-2.84,2.84,K4 III,2.4706,-1.1802000000000001,1.5202,4213.0,-46.0,46.0,1.93,"HD 136726, HIP 74793",36.186966399999996,1457.35864,587.2727912,260.4597016,0.16755064,1.534896,1.4076,1.6524,1.5312267,107.35118,91.741348,126.42617,819.07569,788.47184,854.2877,Jovian,29.79,K,15.28497,15 17 05.8915,+71 49 26.0328,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.19389083,0.64868332,0.0,0.0,Hot,0.0,0.082414476,Ursa Minor,UMi,Little Bear,12.229641,4684.7848,1.53
14 And b,3.0,1525.5744,-178.6193364,178.6193364,11.698756,-0.39907599999999993,0.434948,2008.0,2014-05-14,185.84,-0.23,0.23,0.83,-0.01626,0.01626,0.0,-0.043,0.043,88.664,-0.34199999999999997,0.40800000000000003,0.0,-28.862000000000002,28.862000000000002,2452861.4,-1.5,1.5,11.0,0.3236,-0.099,0.075,0.0,0.0,0.0,Radial Velocity,14 And,352.82257,39.236198,5.227,75.59,-0.71,0.71,-0.24,-0.03,0.03,2.2,-0.2,0.1,11.0,-1.0,1.0,G8 III,6.630000000000001,-1.624,1.7640000000000005,4813.0,-20.0,20.0,2.63,"HD 221345, HIP 116076",10.904193900000001,121.2893216,10.36914434,0.8896299839999999,0.073485255,0.83,0.83,0.83,0.83000002,84.446427,84.446427,84.446427,772.30746,772.30746,772.30746,Jovian,11.0,G,23.521506,23 31 17.4215,+39 14 10.3128,58.175144,6.0252302,14.680087,7.6318669,13.918028,8.078404,13.918028,7.3677796,13.918028,20.593611,0.50275224,0.60001028,0.0,0.0,Hot,0.0,0.081917127,Andromeda,And,Andromeda,12.848516,1525.5744,0.83
14 Her b,3.0,1481.0785,-47.6742,47.6742,9.098035999999999,-0.255588,0.266798,2002.0,2018-09-06,1773.4,-2.5,2.5,2.93,-0.08,0.08,0.37,0.0,0.0,83.17819999999999,-2.9226000000000005,2.9236,143.996,-12.48,13.080000000000002,2452016.66,-99.23599999999999,103.03599999999999,163.0,0.38380000000000003,-0.0766,0.08180000000000001,0.0,0.0,0.0,Radial Velocity,14 Her,242.6013,43.817646,6.61,17.94,-0.01,0.01,0.41,-0.05600000000000001,0.05600000000000001,0.9,-0.04,0.04,0.93,-0.01,0.01,K0 V,3.2920000000000003,-1.169,1.169,5338.0,-25.0,25.0,4.45,"HD 145675, HIP 79248",9.23128586,99.2684246,9.820072320000001,0.9826584840000001,0.217991,3.1305585,1.8459,4.0141,2.9825498,0.078886561,0.039047429,0.18465135,131.38424,113.25125,167.00637,Jovian,0.93,K,16.173421,16 10 24.3158,+43 49 03.5256,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.91975583,0.44541547,0.0,0.0,Cold,0.0,0.14524062,Hercules,Her,Hercules,12.865261,1481.0785,2.93
16 Cyg B b,3.0,565.73385,-25.42624,25.42624,6.8425839999999996,-0.24661999999999998,0.25783,1996.0,2018-09-06,798.5,-1.0,1.0,1.66,-0.03,0.03,0.68,-0.02,0.02,77.99300000000001,-0.0392,0.0354,156.8626,-14.3422,13.9722,2453156.3200000003,-33.239999999999995,39.480000000000004,78.5,0.4588,-0.16260000000000002,0.1244,0.0,0.0,0.0,Radial Velocity,16 Cyg B,295.46655,50.517525,6.25,21.15,-0.01,0.01,0.06,-0.0252,0.0252,1.08,-0.04,0.04,1.13,-0.01,0.01,G2.5 V,5.852200000000001,-1.5642,1.5642,5750.0,-8.0,8.0,4.36,"HD 186427, HIP 96901",4.799153200000001,26.8639583,2.7096442240000003,0.2805534436,0.042832433,2.043792,0.5312,2.7888,1.7748696,0.61897215,0.16079857,4.4320105,202.22783,161.33012,369.65374,Jovian,1.13,G,19.697771,19 41 51.9764,+50 31 03.0900,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,1.9836585,0.47332457,1.0,1.0,Warm,0.0,0.36862709,Cygnus,Cyg,Swan,13.421749,565.73385,1.66
18 Del b,3.0,3273.6284,-495.112468,495.112468,5.885250000000001,-0.4259799999999999,0.423738,2008.0,2014-05-14,993.3,-3.2,3.2,2.6,-0.06400000000000002,0.06400000000000002,0.08,-0.01,0.01,73.224,-2.4419999999999997,2.242,166.1,-6.5,6.5,2451672.0,-18.0,18.0,34.0,0.4316000000000001,-0.07700000000000001,0.061399999999999996,0.0,0.0,0.0,Radial Velocity,18 Del,314.60806,10.839286,5.506,76.38,-0.62,0.62,-0.052,-0.023,0.023,2.3,-0.20800000000000002,0.21000000000000002,8.5,-0.388,0.388,G6 III,1.2249999999999999,-0.6762,0.6762,4979.0,-18.0,18.0,2.82,"HD 199665, HIP 103527",27.509380399999998,870.3808240000001,367.29782580000006,176.45838899999998,0.26914123,2.60832,2.392,2.808,2.6020847,5.9039479,5.0454603,6.9530068,396.65045,381.83005,413.70243,Jovian,8.5,G,20.973872,20 58 25.9391,+10 50 21.4296,39.782769,4.9452691,11.966497,6.2639156,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.67864811,0.60896698,0.0,0.0,Hot,0.0,0.21617437,Delphinus,Del,Dolphin,12.424038,3273.6284,2.6
1RXS J160929.1-210524 b,3.0,2542.624,-317.828,317.828,4.593858,-0.8429920000000001,0.836266,2008.0,2015-04-01,591.3124717,-45.000035600000004,36.6000356,330.0,-4.102,4.102,0.18839999999999998,-0.0986,0.12020000000000002,80.578,-2.1039999999999996,1.5639999999999998,118.0,-36.160000000000004,53.44,2454136.8,-68.8,131.88,2280.0,0.24020000000000002,-0.0816,0.179,0.0,0.0,0.0,Imaging,1RXS J160929.1-210524,242.37627,-21.083036,11.739,145.0,-14.0,14.0,0.056000000000000015,-0.06,0.06,0.85,-0.1,0.2,2.37,-0.03200000000000001,0.03200000000000001,K7 V,0.005,-0.07100000000000001,0.07100000000000001,4060.0,-200.0,300.0,4.108,",",28.590007200000002,980.8245980000002,517.4750544999999,287.85193302,47.561283,330.0,330.0,330.0,330.00001,8.6224277422,8.300480019999998,9.485059463199999,304.138252,291.3870058,328.442342,Jovian,2.37,K,16.158419,16 09 30.3074,-21 04 58.9296,5.3213023464,1.3138257819999999,3.1957614,1.66415762,3.029866118,1.761438994,3.029866118,1.606565476,3.029866118,4.501347312,0.10042903,0.14012839,0.0,0.0,Hot,0.0,0.2431076,Scorpius,Sco,Scorpion,12.56295,2542.624,330.0
24 Boo b,3.0,289.22348,-31.7828,41.31764,4.623004,-0.16815,0.199538,2018.0,2018-04-26,30.3506,-0.0077,0.0078,0.19,-0.009,0.012,0.042,-0.029,0.048,88.69,-0.34800000000000003,0.35800000000000004,210.0,-130.0,100.0,2450008.6,-7.9,10.1,1.97,0.2786,-0.08080000000000001,0.1046,0.0,0.0,0.0,Radial Velocity,24 Boo,217.15755,49.844852,5.58,96.25,-0.64,0.64,-0.77,-0.03,0.03,0.99,-0.13,0.19,10.64,-0.59,0.84,G3 IV,6.92,-2.75,4.83,4893.0,-15.0,15.0,2.42,"HD 127243, HIP 70791",3.18248252,10.743310939999999,1.9232188159999999,0.5532575413999999,0.012081025,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1483.3039,1754.828,1613.7579,1581.0749,1648.935,Jovian,10.64,G,14.477171,14 28 37.8140,+49 50 41.4672,58.139697,6.0021326,14.574833,7.6026009,13.818243,8.0466759,13.818243,7.3395091,13.818243,20.587336,0.4420258,0.49217655,0.0,0.0,Hot,0.0,0.065684936,Bootes,Boo,Herdsman,13.823874,289.22348,0.19
24 Sex b,3.0,632.47773,-120.77464,82.635281,5.898701999999999,-0.2242,0.25558800000000004,2010.0,2014-05-14,452.8,-4.5,2.1,1.333,-0.009,0.004,0.09,-0.06,0.14,89.60999999999999,-0.312,0.328,9.2,-165.4,277.9,2454762.0,-172.3,67.3,18.5,0.32399999999999995,-0.1678,0.15899999999999997,0.0,0.0,0.0,Radial Velocity,24 Sex,155.86821,-0.902244,6.441,72.21,-0.68,0.68,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,K0 IV,2.7,-0.4,0.4,5098.0,-44.0,44.0,3.5,"HD 90043, HIP 50887",8.28056236,87.27501720000001,26.023715399999997,10.238566898,0.090191357,1.3383987,1.21303,1.45297,1.3343533,8.2108078,6.8828267,9.8749987,430.60546,412.65453,451.62624,Jovian,4.9,K,10.391215,10 23 28.3724,+00 54 08.0784,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0.0,0.0,Hot,0.0,0.17730446,Sextans,Sex,Sextant,13.35605,632.47773,1.333
24 Sex c,3.0,273.33208,-69.922161,111.2398,5.418913999999999,-0.15021400000000001,0.18160199999999999,2010.0,2014-05-14,883.0,-13.8,32.4,2.08,-0.02,0.05,0.29,-0.09,0.16,73.9882,-0.025,0.0196,220.5,-320.9,182.2,2454930.0,-96.5,209.9,28.8,0.347,-0.101,0.1202,0.0,0.0,0.0,Radial Velocity,24 Sex,155.86821,-0.902244,6.441,72.21,-0.68,0.68,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,K0 IV,2.7,-0.4,0.4,5098.0,-44.0,44.0,3.5,"HD 90043, HIP 50887",2.8737937200000006,9.4828868,1.550811444,0.39095916960000004,0.083016328,2.167464,1.4768,2.6832,2.1024946,3.5093722,2.0182457,6.662493,343.04216,303.66058,409.31164,Jovian,4.9,K,10.391215,10 23 28.3724,+00 54 08.0784,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0.0,0.0,Hot,0.0,0.2724776,Sextans,Sex,Sextant,13.858291,273.33208,2.08
2MASS J01225093-2439505 b,3.0,7786.7861,-794.57001,794.57001,14.010257999999999,-1.6164820000000002,1.6164820000000002,2013.0,2014-05-14,1005.6359999999999,-3.5799999999999996,3.586,52.0,-6.0,6.0,0.28574,-0.01888,0.01968,65.414,-1.2240000000000002,1.064,70.77000000000001,-3.4440000000000004,3.2039999999999997,2455716.08,-23.46,27.26,1440.0,0.47400000000000003,-0.096,0.06999999999999999,0.0,0.0,0.0,Imaging,2MASS J01225093-2439505,20.712243,-24.664049,14.24,36.0,-4.0,4.0,0.084,-0.096,0.096,0.4,-0.05,0.05,11.856,-0.616,0.5960000000000001,M3.5 V,0.12,-0.01,0.01,3530.0,-50.0,50.0,2.9859999999999998,",",28.597446400000003,980.510974,286.69064887999997,117.87279154999999,13.992264,52.0,52.0,52.0,52.000001,42.27810316404,38.54210238059999,46.9956566052,414.87749299999996,393.18327080000006,464.16346439999995,Jovian,11.856,M,1.3808163,01 22 50.9386,-24 39 50.5764,96.39922072,6.264315433999999,15.3143161,7.93470064,14.5193214,8.399623100000001,14.5193214,7.660059800000001,14.5193214,21.392016740000003,0.031426578,0.18511504,0.0,0.0,Hot,0.0,0.1443945324,Cetus,Cet,Whale,11.959259,7786.7861,52.0
2MASS J02192210-3925225 b,3.0,4417.8092,-349.6108,349.6108,16.1424,-0.3363,0.3363,2015.0,2015-05-14,1460823.11182,-730026.64804,730034.64804,156.0,-10.0,10.0,0.41209999999999997,-0.04108,0.040459999999999996,73.78599999999999,-2.062,1.4959999999999998,136.878,-13.610000000000003,13.690000000000001,2454089.92,-30.1738,30.1738,3960.0,0.42600000000000005,-0.152,0.13399999999999998,0.0,0.0,0.0,Imaging,2MASS J02192210-3925225,34.842106,-39.422928,11.618799999999998,39.4,-2.6,2.6,0.288,-0.074,0.074,0.11,-0.01,0.01,0.28,-0.01,0.01,M6,0.035,-0.005,0.005,3064.0,-76.0,76.0,4.59,",",16.543196,273.67735,16.953944,1.0502741,53.43772,156.0,156.0,156.0,156.0,2.5439616e-07,2.5439616e-07,2.5439616e-07,5.7216666,5.7216666,5.7216666,Jovian,0.28,M,2.3228072,02 19 22.1059,-39 25 22.5408,0.006190985,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.0091773442,0.098031817,0.0,0.0,Cold,0.0,0.056530021,Fornax,For,Furnace,16.1424,4417.8092,156.0
2MASS J04414489+2301513 b,3.0,2383.71,-794.57001,794.57001,11.086689999999999,-1.30036,1.4124599999999998,2010.0,2014-05-14,2570.4580207999998,-70.1400026,70.1400026,15.0,-0.138,0.13799999999999998,0.11800000000000002,-0.068,0.068,78.7,-0.8780000000000001,0.9800000000000001,69.02000000000001,-39.2,39.2,2453902.08,-332.04,332.04,107.0,0.3678,-0.06180000000000001,0.0656,0.0,0.0,0.0,Imaging,2MASS J04414489+2301513,70.437073,23.030941,11.591399999999998,140.0,-82.68,82.68,0.318,-0.0596,0.056999999999999995,0.02,-0.030000000000000006,0.030000000000000006,4.642,-0.22200000000000003,0.22200000000000003,M8.5,0.001,-1.1468,1.2008,41892.0,-220.6,220.6,4.597999999999999,",",7.179423228,78.98586258000002,4.879711642,0.675348398,7.3838744,15.0,15.0,15.0,15.0,191115.90935846002,191112.53878112,191121.3983948,2979.821818,2963.86823,3001.658098,Jovian,4.642,M,4.6958051,04 41 44.8984,+23 01 51.3876,66.43301240000001,5.46179004,12.9547475,6.9179518799999995,12.282271040000001,7.31477936,12.282271040000001,6.6773823199999995,12.282271040000001,20.159984,5.453798000001038e+37,0.030706817,0.0,0.0,Hot,0.0,0.1994141472,Taurus,Tau,Bull,12.598676,2383.71,15.0
2MASS J12073346-3932539 b,3.0,1271.312,-317.828,317.828,19.202730000000003,-7.046606,6.59148,2004.0,2014-05-14,1925.5265982,-65.7400034,65.7400034,46.0,-5.0,5.0,0.078,-0.026000000000000002,0.026000000000000002,78.378,-0.388,0.288,21.860000000000003,-36.444,35.986000000000004,2456137.6,-131.14000000000001,117.34,714.0,0.392,-0.0648,0.08200000000000002,0.0,0.0,0.0,Imaging,2MASS J12073346-3932539,181.88945,-39.548332,20.15,64.42,-0.65,0.65,0.188,-0.05,0.05,0.02,-0.042,0.042,0.374,-0.026000000000000002,0.026000000000000002,M8,0.008,-0.003,0.004,41892.0,-226.8,226.8,5.022,",",7.194438868000001,83.84351618000001,12.372902321999998,2.4562094819999998,18.363288,46.0,46.0,46.0,46.000001,191118.99453025998,191118.63713292,191119.4777466,2990.6280699999998,2985.912962,2996.4501179999997,Jovian,0.374,M,12.125964,12 07 33.4696,-39 32 53.9952,32.053829291999996,3.4228938179999995,7.906613254,4.335370434,7.496201686000001,4.579903866,7.496201686000001,4.184172596,7.496201686000001,13.289583160000001,1.0907596000001037e+38,0.043425998,0.0,0.0,Hot,0.0,0.21439280200000002,Centaurus,Cen,Centaur,12.952003,1271.312,46.0
2MASS J19383260+4603591 b,3.0,603.87321,-31.7828,31.7828,8.548746,-0.5963719999999999,0.6187919999999999,2015.0,2015-06-04,416.0,-2.0,2.0,0.92,-0.02,0.02,0.08020000000000001,-0.0342,0.0476,66.854,-0.558,0.54,125.38,-88.16,88.02000000000001,2455725.2,-98.34,98.34,2.3,0.55532,-0.03882,0.03208,0.0,0.0,0.0,Eclipse Timing Variations,2MASS J19383260+4603591,294.63587,46.066418,12.264,400.77,-6.48,6.48,0.072,-0.05,0.05,0.48,-0.03,0.03,1.45,-0.09,0.094,G0 V,3.854,-1.056,1.076,42206.0,-227.0,224.2,4.6,",",4.278357708,26.285188979999997,2.237110862,0.548215352,0.099343902,0.92,0.92,0.92,0.92000002,191108.430399,191108.03069642,191108.95710017998,2937.3519819999997,2932.146436,2943.6739979999998,Jovian,1.45,G,19.642392,19 38 32.6113,+46 03 59.1048,36.803187799999996,4.12289456,9.585050079999998,5.2220241000000005,9.087513359999999,5.518036399999999,9.087513359999999,5.04014622,9.087513359999999,15.7169374,1.0907596000001037e+38,0.36121425,0.0,0.0,Hot,0.0,0.21335078000000002,Cygnus,Cyg,Swan,13.383276,603.87321,0.92
2MASS J21402931+1625183 A b,3.0,6658.4967,-6658.4967,26630.808,10.3132,-4.0356,4.3719,2009.0,2014-05-14,7336.5,-584.0,1934.5,182.35399999999998,-0.23579999999999995,0.23259999999999997,0.26,-0.06,0.06,46.2,-8.7,2.5,223.0,-47.0,10.0,2452776.38,-21.078,21.078,1305.6879999999999,0.5446000000000001,-0.1676,0.11779999999999999,0.0,0.0,0.0,Imaging,2MASS J21402931+1625183 A,325.12216,16.421759,8.4652,25.0,-10.0,10.0,-0.1044,-0.056600000000000004,0.056600000000000004,0.08,-0.06,0.06,0.12,-0.04,0.05,M8.5,1.7044000000000001,-0.6122,1.6122,2300.0,-80.0,80.0,3.0940000000000003,",",25.409222,645.62858,62.602158,6.0701002,1.0287533,3.2908045,2.3555768,4.010847,3.2107268,3.690033e-05,2.2443485e-05,6.5068073e-05,19.598998,17.535473,22.881627,Jovian,0.12,M,21.674812,21 40 29.3222,+16 25 18.3324,0.00036104595,0.015701147,0.04246522,0.019887033,0.040258767,0.021100899,0.040258767,0.019192148,0.040258767,0.051303266,0.002221171,0.19878386,0.0,0.0,Cold,0.0,0.084157251,Pegasus,Peg,Winged Horse,10.3132,6658.4967,3.1832119
2MASS J22362452+4751425 b,3.0,3972.85,-476.742,476.742,9.799781999999999,-0.636728,0.679326,2016.0,2016-11-10,826.3888203999999,-26.648068000000002,34.648068,230.0,-20.0,20.0,0.39790000000000003,-0.03868,0.03806,71.024,-2.6299999999999994,1.6279999999999997,159.298,-12.809999999999999,12.89,2454579.2199999997,-30.192,30.192,3110.0,0.4182,-0.06960000000000002,0.13099999999999998,0.0,0.0,0.0,Imaging,2MASS J22362452+4751425,339.1022,47.86182,12.51,74.0,-10.0,10.0,0.24799999999999994,-0.076,0.076,0.6,-0.05,0.05,0.792,-0.032,0.032,K7 V,0.12,-0.01,0.01,4045.0,-35.0,35.0,4.518,",",25.04034,768.863548,331.3881512,167.188754856,43.201288,230.0,230.0,230.0,230.00001,0.43450881487923204,0.134618077959232,2.826085700079232,124.79392532,107.71289052,201.00602732,Jovian,0.792,K,22.606815,22 36 24.5330,+47 51 42.5520,0.5882266791999999,0.462160645,1.1144911020000001,0.5853909586,1.056636272,0.6194346366,1.056636272,0.5651087258,1.056636272,1.610790926,0.087145494,0.21190382,0.0,0.0,Hot,0.0,0.16036797220000004,Lacerta,Lac,Lizard,12.318663,3972.85,230.0
30 Ari B b,3.0,4392.383,-572.09041,572.09041,7.026428,-0.6232759999999999,0.6008560000000001,2009.0,2018-09-06,335.10001,-2.5,2.5,0.99,-0.02,0.02,0.29,-0.09,0.09,64.618,-2.266,1.866,242.522,-7.281999999999999,7.281999999999999,2454951.2,-3.372,3.372,22.1,0.43220000000000003,-0.17160000000000003,0.131,0.0,0.0,0.0,Radial Velocity,30 Ari B,39.240585,24.648064,6.962,44.71,-0.1,0.1,0.19,-0.0746,0.0746,1.93,-0.27,0.27,1.41,-0.05,0.05,F6 V,4.3406,-1.8072000000000004,2.1472,6331.0,-61.0,61.0,4.43,"HD 16232, HIP 12184",26.0296102,752.1968279999999,181.940108,48.6858886,0.092482534,1.0316295,0.7029,1.2771,1.0007066,3.050856,1.7545523,5.7920065,331.24213,293.21521,395.23206,Jovian,1.41,F,2.6160391,02 36 57.7409,+24 38 53.0304,2.8616474,1.22761,2.8573528,1.5548965,2.709031,1.6434699,2.709031,1.5008232,2.709031,4.5674293,6.531395,0.57438563,0.0,0.0,Hot,0.0,0.30089651,Aries,Ari,Ram,12.26437,4392.383,0.99
4 UMa b,3.0,2256.5788,-508.5248,508.5248,9.503838,-0.609824,0.6030979999999999,2006.0,2014-05-14,269.3,-1.96,1.96,0.87,-0.04,0.04,0.432,-0.024,0.024,88.23400000000001,-0.626,0.682,23.81,-4.42,4.42,2452987.4,-4.31,4.31,11.8,0.3448,-0.12120000000000002,0.10500000000000001,0.0,0.0,0.0,Radial Velocity,4 UMa,130.05341,64.327934,4.61,73.58,-1.18,1.18,-0.25,-0.04,0.04,1.23,-0.15,0.15,18.11,-1.47,1.47,K1 III,4.604,-2.0,2.0,4415.0,-70.0,70.0,1.8,"HD 73108, HIP 42527",17.6221818,399.65006600000004,138.2012674,61.16998839399999,0.060511038,0.95118144,0.49416,1.24584,0.8916605,163.55514,71.932282,457.20735,877.01545,741.9521,1178.0757,Jovian,18.11,K,8.6702275,08 40 12.8191,+64 19 40.5624,111.64734,8.4740879,21.019604,10.733757,19.928398,11.367229,19.928398,10.362264,19.928398,28.529093,0.20903862,0.49436657,0.0,0.0,Hot,0.0,0.076992961,Ursa Major,UMa,Big Bear,12.629095,2256.5788,0.87
42 Dra b,3.0,1233.1727,-270.1538,270.1538,8.414226000000001,-0.30715400000000004,0.343026,2008.0,2014-05-14,479.1,-6.2,6.2,1.19,-0.01,0.01,0.38,-0.06,0.06,88.16799999999998,-0.43199999999999994,0.344,218.7,-10.6,10.6,2452757.4,-3.7,3.7,13.1,0.327,-0.13140000000000002,0.127,0.0,0.0,0.0,Radial Velocity,42 Dra,276.4964,65.563484,4.82,90.86,-1.32,1.32,-0.46,-0.05,0.05,0.98,-0.05,0.05,22.03,-1.0,1.0,K1.5 III,9.49,-1.76,1.76,4200.0,-70.0,70.0,1.71,"HD 170693, HIP 90344",13.049169799999998,209.33830600000002,67.05574708,26.736420742,0.079675195,1.275918,0.7378,1.6422,1.2125726,103.29647,50.172149,248.56358,789.07763,678.04823,1011.5894,Jovian,22.03,K,18.433094,18 25 59.1392,+65 33 48.5424,135.3053,9.3887017,23.530144,11.892261,22.308555,12.59743,22.308555,11.48048,22.308555,31.406618,0.13394243,0.51702463,0.0,0.0,Hot,0.0,0.07908401,Draco,Dra,Dragon,12.969374,1233.1727,1.19
47 UMa b,3.0,804.10485,-19.06968,22.24796,6.28881,-0.42598,0.5201439999999999,1996.0,2014-05-14,1078.0,-2.0,2.0,2.1,-0.02,0.02,0.032,-0.014,0.014,89.982,-0.0234,0.05800000000000001,334.0,-23.0,23.0,2451917.0,-76.0,63.0,152.0,0.4588,-0.16260000000000002,0.1244,0.0,0.0,0.0,Radial Velocity,47 UMa,164.86656,40.430256,5.05,13.8,-0.03,0.03,0.0,-0.07,0.07,1.03,-0.05,0.05,1.23,-0.03,0.03,G0 V,7.3,-1.9,1.9,5892.0,-70.0,70.0,4.27,"HD 95128, HIP 53721",5.753556580000001,34.484931800000005,3.31181974,0.32486041,0.18722838,2.1010752,2.0328,2.1672,2.1002691,0.37062414,0.34781783,0.39533068,198.7444,195.65136,202.01566,Jovian,1.23,G,10.991105,10 59 27.9769,+40 25 48.9216,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,1.0,1.0,Warm,0.0,0.31106267,Ursa Major,UMa,Big Bear,13.215704,804.10485,2.1
